AeroDyn	airfoil	file	Created	with	QBlade	v0.963	64bit	on	13.12.2018	at	15:49:54	Compatible	with	AeroDyn	v13.0.
Polar	T1_Re0.100_M0.00_N9.0 360 V	on	Foil	T1_Re0.100_M0.00_N9.0	::	generated	by	QBlade							
1	Number	of	airfoil	tables	in	this	file								
0	Table	ID	parameter												
15.9	Stall	angle	(deg)												
0	No	longer	used,	enter	zero										
0	No	longer	used,	enter	zero										
0	No	longer	used,	enter	zero										
-1.53	Angle	of	attack	for	zero	Cn	for	linear	Cn	curve	(deg)				
8.00357	Cn	slope	for	zero	lift	for	linear	Cn	curve	(1/rad)					
-0.9039	Cn	at	stall	value	for	positive	angle	of	attack	for	linear	Cn	curve		
-0.9105	Cn	at	stall	value	for	negative	angle	of	attack	for	linear	Cn	curve		
-0.6	Angle	of	attack	for	minimum	CD	(deg)								
0.0204	Minimum	CD	value												
	-180	0.0000	0.0000												
	-179	0.0314	0.0005												
	-178	0.0628	0.0022												
	-177	0.0940	0.0049												
	-176	0.1252	0.0088												
	-175	0.1562	0.0137												
	-174	0.1871	0.0197												
	-173	0.2177	0.0267												
	-172	0.2480	0.0349												
	-171	0.2780	0.0440												
	-170	0.3077	0.0543												
	-169	0.3370	0.0655												
	-168	0.3660	0.0778												
	-167	0.3944	0.0911												
	-166	0.4224	0.1053												
	-165	0.4499	0.1206												
	-164	0.4768	0.1368												
	-163	0.5031	0.1539												
	-162	0.5288	0.1719												
	-161	0.5539	0.1908												
	-160	0.5783	0.2106												
	-159	0.6020	0.2312												
	-158	0.6250	0.2526												
	-157	0.6472	0.2748												
	-156	0.6686	0.2978												
	-155	0.6892	0.3215												
	-154	0.7090	0.3459												
	-153	0.7279	0.3710												
	-152	0.7459	0.3967												
	-151	0.7630	0.4231												
	-150	0.7792	0.4500												
	-149	0.7944	0.4775												
	-148	0.8087	0.5055												
	-147	0.8219	0.5339												
	-146	0.8342	0.5629												
	-145	0.8455	0.5922												
	-144	0.8557	0.6219												
	-143	0.8649	0.6519												
	-142	0.8730	0.6823												
	-141	0.8801	0.7129												
	-140	0.8861	0.7437												
	-139	0.8910	0.7747												
	-138	0.8948	0.8059												
	-137	0.8975	0.8372												
	-136	0.8992	0.8686												
	-135	0.8997	0.9000												
	-134	0.8992	0.9314												
	-133	0.8975	0.9628												
	-132	0.8948	0.9941												
	-131	0.8910	1.0253												
	-130	0.8861	1.0563												
	-129	0.8801	1.0871												
	-128	0.8730	1.1177												
	-127	0.8649	1.1481												
	-126	0.8557	1.1781												
	-125	0.8455	1.2078												
	-124	0.8342	1.2371												
	-123	0.8219	1.2661												
	-122	0.8087	1.2945												
	-121	0.7944	1.3225												
	-120	0.7792	1.3500												
	-119	0.7630	1.3769												
	-118	0.7459	1.4033												
	-117	0.7279	1.4290												
	-116	0.7090	1.4541												
	-115	0.6892	1.4785												
	-114	0.6686	1.5022												
	-113	0.6472	1.5252												
	-112	0.6250	1.5474												
	-111	0.6020	1.5688												
	-110	0.5783	1.5894												
	-109	0.5539	1.6092												
	-108	0.5288	1.6281												
	-107	0.5031	1.6461												
	-106	0.4768	1.6632												
	-105	0.4499	1.6794												
	-104	0.4224	1.6947												
	-103	0.3944	1.7089												
	-102	0.3660	1.7222												
	-101	0.3370	1.7345												
	-100	0.3077	1.7457												
	-99	0.2780	1.7560												
	-98	0.2480	1.7651												
	-97	0.2177	1.7733												
	-96	0.1871	1.7803												
	-95	0.1562	1.7863												
	-94	0.1252	1.7912												
	-93	0.0940	1.7951												
	-92	0.0628	1.7978												
	-91	0.0314	1.7995												
	-90	0.0000	1.8000												
	-89	-0.0314	1.7992												
	-88	-0.0629	1.7974												
	-87	-0.0944	1.7944												
	-86	-0.1258	1.7904												
	-85	-0.1572	1.7853												
	-84	-0.1884	1.7791												
	-83	-0.2194	1.7718												
	-82	-0.2503	1.7635												
	-81	-0.2809	1.7541												
	-80	-0.3113	1.7436												
	-79	-0.3414	1.7322												
	-78	-0.3711	1.7197												
	-77	-0.4005	1.7062												
	-76	-0.4294	1.6917												
	-75	-0.4579	1.6763												
	-74	-0.4860	1.6599												
	-73	-0.5135	1.6426												
	-72	-0.5405	1.6244												
	-71	-0.5669	1.6053												
	-70	-0.5927	1.5853												
	-69	-0.6179	1.5645												
	-68	-0.6425	1.5429												
	-67	-0.6663	1.5205												
	-66	-0.6895	1.4973												
	-65	-0.7119	1.4734												
	-64	-0.7336	1.4488												
	-63	-0.7545	1.4235												
	-62	-0.7746	1.3976												
	-61	-0.7939	1.3711												
	-60	-0.8124	1.3440												
	-59	-0.8300	1.3163												
	-58	-0.8467	1.2881												
	-57	-0.8626	1.2595												
	-56	-0.8775	1.2304												
	-55	-0.8916	1.2009												
	-54	-0.9047	1.1710												
	-53	-0.9169	1.1408												
	-52	-0.9282	1.1103												
	-51	-0.9385	1.0795												
	-50	-0.9479	1.0485												
	-49	-0.9564	1.0173												
	-48	-0.9639	0.9860												
	-47	-0.9704	0.9545												
	-46	-0.9760	0.9230												
	-45	-0.9807	0.8915												
	-44	-0.9845	0.8599												
	-43	-0.9874	0.8284												
	-42	-0.9893	0.7969												
	-41	-0.9904	0.7656												
	-40	-0.9906	0.7345												
	-39	-0.9899	0.7035												
	-38	-0.9884	0.6728												
	-37	-0.9861	0.6423												
	-36	-0.9831	0.6121												
	-35	-0.9793	0.5823												
	-34	-0.9748	0.5528												
	-33	-0.9696	0.5238												
	-32	-0.9639	0.4952												
	-31	-0.9575	0.4671												
	-30	-0.9507	0.4395												
	-29	-0.9434	0.4125												
	-28	-0.9357	0.3861												
	-27	-0.9278	0.3602												
	-26	-0.9196	0.3350												
	-25	-0.9114	0.3105												
	-24	-0.9031	0.2867												
	-23	-0.8950	0.2637												
	-22	-0.8872	0.2414												
	-21	-0.8799	0.2199												
	-20	-0.8733	0.1992												
	-19	-0.8676	0.1794												
	-18	-0.8632	0.1604												
	-17	-0.8604	0.1423												
	-16	-0.8597	0.1251												
	-15	-0.8616	0.1089												
	-14	-0.8669	0.0936												
	-13	-0.8764	0.0793												
	-12	-0.8915	0.0660												
	-11	-0.9138	0.0537												
