  7.40,   1.175,   0.051
  7.50,   1.111,   0.058
  7.60,   1.144,   0.055
  7.70,   1.190,   0.051
  7.80,   1.279,   0.043
  7.90,   1.265,   0.045
  8.00,   1.261,   0.046
  8.10,   1.367,   0.038
  8.20,   1.350,   0.039
  8.30,   1.407,   0.036
  8.40,   1.395,   0.037
  8.50,   1.423,   0.036
  8.60,   1.422,   0.037
  8.70,   1.433,   0.037
  8.80,   1.441,   0.037
  8.90,   1.443,   0.038
  9.00,   1.458,   0.038
  9.10,   1.457,   0.039
  9.20,   1.479,   0.039
  9.30,   1.473,   0.040
  9.40,   1.475,   0.040
  9.50,   1.494,   0.041
  9.60,   1.489,   0.042
  9.70,   1.490,   0.042
  9.80,   1.513,   0.043
  9.90,   1.510,   0.044
 10.00,   1.509,   0.045
 10.10,   1.514,   0.045
 10.20,   1.538,   0.047
 10.30,   1.534,   0.047
 10.40,   1.532,   0.048
 10.50,   1.533,   0.049
 10.60,   1.544,   0.049
 10.70,   1.557,   0.051
 10.80,   1.554,   0.052
 10.90,   1.552,   0.053
 11.00,   1.552,   0.054
 11.10,   1.556,   0.055
 11.20,   1.570,   0.056
 11.30,   1.590,   0.058
 11.40,   1.585,   0.059
 11.50,   1.579,   0.060
 11.60,   1.573,   0.062
 11.70,   1.568,   0.063
 11.80,   1.562,   0.064
 11.90,   1.558,   0.065
 12.00,   1.554,   0.066
 12.10,   1.551,   0.067
 12.20,   1.590,   0.069
 12.30,   1.579,   0.070
 12.40,   1.569,   0.071
 12.50,   1.558,   0.073
 12.60,   1.547,   0.074
 12.70,   1.536,   0.076
 12.80,   1.524,   0.078
 12.90,   1.511,   0.080
 13.00,   1.498,   0.082
 13.10,   1.484,   0.084
 13.20,   1.468,   0.086
 13.30,   1.453,   0.089
 13.40,   1.437,   0.092
 13.50,   1.420,   0.095
 13.60,   1.402,   0.098
 13.70,   1.385,   0.102
 13.80,   1.367,   0.106
 13.90,   1.349,   0.110
 14.00,   1.332,   0.114
 14.10,   1.276,   0.130
 14.20,   1.221,   0.146
 14.30,   1.166,   0.162
 14.40,   1.110,   0.178
 14.50,   1.125,   0.180
 14.60,   1.134,   0.183
 14.70,   1.091,   0.192
 14.80,   1.048,   0.201
 14.90,   1.043,   0.201
 15.00,   1.043,   0.202
 15.10,   1.045,   0.203
 15.20,   1.050,   0.205
 15.30,   1.060,   0.207
 15.40,   1.103,   0.221
 15.50,   1.093,   0.220
 15.60,   1.081,   0.218
 15.70,   1.068,   0.215
 15.80,   1.062,   0.215
 15.90,   1.062,   0.216
 16.00,   1.066,   0.217
 16.10,   1.071,   0.219
 16.20,   1.078,   0.222
 16.30,   1.090,   0.225
 16.40,   1.114,   0.234
 16.50,   1.119,   0.239
 16.60,   1.125,   0.244
 16.70,   1.115,   0.242
 16.80,   1.101,   0.239
 16.90,   1.087,   0.236
 17.00,   1.083,   0.236
 17.10,   1.083,   0.237
 17.20,   1.085,   0.239
 17.30,   1.088,   0.241
 17.40,   1.093,   0.243
 17.50,   1.104,   0.246
 17.60,   1.138,   0.261
 17.70,   1.128,   0.259
 17.80,   1.117,   0.257
 17.90,   1.107,   0.255
 18.00,   1.101,   0.254
 18.10,   1.101,   0.255
 18.20,   1.103,   0.257
 18.30,   1.107,   0.259
 18.40,   1.112,   0.261
 18.50,   1.119,   0.264
 18.60,   1.130,   0.268
 18.70,   1.161,   0.283
 18.80,   1.161,   0.287
 18.90,   1.154,   0.286
 19.00,   1.145,   0.284
 19.10,   1.135,   0.282
 19.20,   1.126,   0.280
 19.30,   1.121,   0.280
 19.40,   1.120,   0.281
 19.50,   1.121,   0.283
 19.60,   1.122,   0.284
 19.70,   1.124,   0.286
 19.80,   1.126,   0.288
 19.90,   1.129,   0.291
 20.00,   1.134,   0.293
