XFOIL	Version	6.99								
										
Calculated	polar	for:	NACA	2408						
										
1	1	Reynolds	number	fixed	Mach	number	fixed			
										
xtrf	=	1	(top)	1	(bottom)					
Mach	=	0	Re	=	0.075	e	6	Ncrit	=	9
										
alpha	CL	CD	CDp	CM	Top_Xtr	Bot_Xtr				
------	--------	---------	---------	--------	--------	--------				
-1.2	-0.0316	0.01379	0.00598	-0.0305	1	1				
-1.1	-0.0228	0.01386	0.00595	-0.0303	1	1				
-1	-0.014	0.01394	0.00595	-0.0302	1	1				
-0.9	-0.0052	0.01402	0.00597	-0.03	1	1				
-0.8	0.0035	0.01411	0.00599	-0.0298	1	1				
-0.7	0.0123	0.01421	0.00603	-0.0297	1	1				
-0.6	0.021	0.01432	0.00607	-0.0295	1	1				
-0.5	0.0297	0.01443	0.00613	-0.0294	1	1				
-0.4	0.0384	0.01455	0.0062	-0.0293	1	1				
-0.3	0.047	0.01468	0.00628	-0.0291	1	1				
-0.2	0.0556	0.01481	0.00637	-0.029	1	1				
-0.1	0.0642	0.01496	0.00647	-0.0289	1	1				
-2.84217E-14	0.0727	0.01511	0.00658	-0.0289	1	1				
0.1	0.0811	0.01527	0.00671	-0.0288	1	1				
0.2	0.0895	0.01545	0.00685	-0.0288	1	1				
0.3	0.0979	0.01563	0.007	-0.0287	1	1				
0.4	0.1061	0.01583	0.00717	-0.0287	1	1				
0.5	0.1143	0.01603	0.00735	-0.0287	1	1				
0.6	0.1224	0.01625	0.00755	-0.0287	1	1				
0.7	0.1304	0.01648	0.00776	-0.0287	1	1				
0.8	0.1501	0.01674	0.008	-0.0309	0.9957	1				
0.9	0.1722	0.01698	0.00823	-0.0335	0.9898	1				
1	0.1956	0.01724	0.00847	-0.0363	0.9846	1				
1.1	0.216	0.01744	0.00867	-0.0385	0.9779	1				
1.2	0.2391	0.01766	0.00888	-0.0411	0.9723	1				
1.3	0.2589	0.01783	0.00906	-0.0432	0.9654	1				
1.4	0.2807	0.018	0.00925	-0.0455	0.9592	1				
1.5	0.3011	0.01815	0.00941	-0.0475	0.9526	1				
1.6	0.3213	0.01827	0.00955	-0.0495	0.9457	1				
1.7	0.3427	0.01838	0.00969	-0.0516	0.9396	1				
1.8	0.3609	0.01847	0.0098	-0.0531	0.9319	1				
1.9	0.3842	0.01852	0.00989	-0.0555	0.9266	1				
2	0.4001	0.01859	0.01	-0.0564	0.9181	1				
2.1	0.4257	0.01856	0.01005	-0.0591	0.9135	1				
2.2	0.4393	0.01863	0.01015	-0.0596	0.9044	1				
2.3	0.4632	0.01856	0.01013	-0.0618	0.8995	1				
2.4	0.4759	0.01861	0.01023	-0.062	0.8903	1				
2.5	0.498	0.01849	0.01017	-0.0637	0.8853	1				
2.6	0.5099	0.01854	0.01026	-0.0637	0.8759	1				
2.7	0.5307	0.01839	0.01017	-0.065	0.8707	1				
2.8	0.5416	0.01844	0.01029	-0.0648	0.861	1				
2.9	0.5606	0.01827	0.01017	-0.0657	0.8554	1				
3	0.5712	0.0183	0.01026	-0.0653	0.8456	1				
3.1	0.5854	0.01823	0.01023	-0.0654	0.838	1				
3.2	0.5989	0.01815	0.0102	-0.0653	0.8298	1				
3.3	0.6104	0.01813	0.01023	-0.065	0.8207	1				
3.4	0.6251	0.01797	0.01011	-0.0649	0.8136	1				
3.5	0.6348	0.018	0.01019	-0.0643	0.8033	1				
3.6	0.6468	0.01792	0.01015	-0.0638	0.7946	1				
3.7	0.6587	0.01781	0.01011	-0.0632	0.7856	1				
3.8	0.6685	0.01781	0.01016	-0.0625	0.7748	1				
3.9	0.6792	0.01774	0.01012	-0.0617	0.7647	1				
4	0.691	0.01758	0.00998	-0.061	0.7551	1				
4.1	0.7001	0.01756	0.00999	-0.06	0.7427	1				
4.2	0.7095	0.01751	0.00996	-0.059	0.7301	1				
4.3	0.7189	0.01745	0.00991	-0.058	0.7169	1				
4.4	0.7282	0.01737	0.00984	-0.0569	0.7031	1				
4.5	0.7373	0.01731	0.00977	-0.0558	0.6884	1				
4.6	0.7463	0.01725	0.00974	-0.0546	0.6731	1				
4.7	0.7551	0.0172	0.00968	-0.0535	0.6571	1				
4.8	0.7639	0.01716	0.00962	-0.0524	0.6406	1				
4.9	0.7722	0.01717	0.00962	-0.0513	0.6228	1				
5	0.7802	0.01719	0.00964	-0.0502	0.6036	1				
5.1	0.7884	0.01721	0.00962	-0.0491	0.584	1				
5.2	0.7961	0.01727	0.00966	-0.048	0.5625	1				
5.3	0.8037	0.01733	0.00967	-0.0469	0.5391	1				
5.4	0.8107	0.01743	0.00972	-0.0457	0.5112	1				
5.5	0.8171	0.01757	0.00979	-0.0444	0.478	1				
5.6	0.8222	0.01779	0.00987	-0.043	0.4319	1				
5.7	0.8247	0.01829	0.01002	-0.0411	0.354	1				
5.8	0.8237	0.01957	0.01047	-0.0392	0.2491	1				
5.9	0.8255	0.02097	0.01125	-0.0378	0.1932	1				
6	0.8304	0.022	0.01198	-0.0369	0.1659	1				
6.1	0.8369	0.02284	0.01269	-0.036	0.1482	1				
6.2	0.8441	0.02368	0.0134	-0.0353	0.1369	1				
6.3	0.8516	0.02449	0.01406	-0.0347	0.1275	1				
6.4	0.8604	0.02516	0.01476	-0.0341	0.1188	1				
6.5	0.8688	0.02604	0.01547	-0.0336	0.1122	1				
6.6	0.8789	0.02674	0.01626	-0.0332	0.1068	1				
6.7	0.8888	0.02758	0.01702	-0.0328	0.1025	1				
6.8	0.8994	0.02866	0.01802	-0.0326	0.0986	1				
6.9	0.9094	0.02934	0.01884	-0.0322	0.0945	1				
7	0.9189	0.03008	0.0196	-0.0319	0.0905	1				
7.1	0.9295	0.0313	0.02071	-0.0319	0.0873	1				
7.2	0.9401	0.03243	0.02196	-0.0315	0.0857	1				
7.3	0.9501	0.03339	0.02313	-0.031	0.0843	1				
7.4	0.9599	0.03445	0.02437	-0.0305	0.083	1				
7.5	0.9692	0.0355	0.02559	-0.03	0.0814	1				
7.6	0.978	0.0365	0.02672	-0.0296	0.0794	1				
7.7	0.9869	0.03745	0.0277	-0.0293	0.0773	1				
7.8	0.9955	0.03864	0.02887	-0.0291	0.0753	1				
7.9	1.0036	0.0405	0.03077	-0.0289	0.0741	1				
8	1.011	0.0423	0.03269	-0.0285	0.0737	1				
8.1	1.0179	0.04369	0.0343	-0.0278	0.0736	1				
8.2	1.0244	0.04522	0.03603	-0.0271	0.0735	1				
8.3	1.0306	0.0469	0.03789	-0.0265	0.0736	1				
8.4	1.0366	0.04862	0.03981	-0.0259	0.0738	1				
8.5	1.0423	0.04967	0.0411	-0.025	0.0742	1				
8.6	1.0466	0.05087	0.04259	-0.024	0.0748	1				
8.7	1.0441	0.05253	0.0448	-0.0223	0.0764	1				
8.8	1.0421	0.05475	0.0474	-0.0211	0.078	1				
8.9	1.0413	0.0569	0.0498	-0.0202	0.0791	1				
9	1.0399	0.05901	0.05212	-0.0194	0.0802	1				
9.1	1.0382	0.06109	0.0544	-0.0187	0.0811	1				
9.2	1.0363	0.06315	0.05661	-0.018	0.082	1				
9.3	1.0344	0.0652	0.05879	-0.0175	0.0827	1				
