XFOIL	Version	6.99								
										
Calculated	polar	for:	NACA	2408						
										
1	1	Reynolds	number	fixed	Mach	number	fixed			
										
xtrf	=	1	(top)	1	(bottom)					
Mach	=	0	Re	=	0.05	e	6	Ncrit	=	9
										
alpha	CL	CD	CDp	CM	Top_Xtr	Bot_Xtr				
------	--------	---------	---------	--------	--------	--------				
-10	-0.4001	0.11704	0.11022	-0.0094	1	0.2073				
-9.9	-0.4097	0.11689	0.11011	-0.0102	1	0.2086				
-9.8	-0.4079	0.11502	0.10827	-0.0104	1	0.2101				
-9.7	-0.3922	0.11212	0.10533	-0.0094	1	0.2143				
-9.6	-0.3905	0.1108	0.10401	-0.0094	1	0.2182				
-9.5	-0.3955	0.11008	0.10332	-0.0099	1	0.2215				
-9.4	-0.4061	0.10988	0.10317	-0.0108	1	0.2231				
-9.3	-0.3997	0.1075	0.1008	-0.0105	1	0.2253				
-9.2	-0.3879	0.10523	0.0985	-0.0098	1	0.2298				
-9.1	-0.3882	0.10406	0.09735	-0.0099	1	0.2339				
-9	-0.3973	0.10362	0.09695	-0.0106	1	0.237				
-8.9	-0.41	0.10345	0.09684	-0.0115	1	0.2381				
-8.8	-0.3857	0.09968	0.09301	-0.0099	1	0.2437				
-8.7	-0.3859	0.09853	0.09188	-0.0099	1	0.2488				
-8.6	-0.3958	0.09805	0.09145	-0.0106	1	0.2517				
-8.5	-0.4081	0.09772	0.09119	-0.0115	1	0.2527				
-8.4	-0.514	0.10626	0.09937	-0.0037	1	0.2388				
-8.3	-0.4938	0.10299	0.09603	-0.0017	1	0.244				
-8.2	-0.4943	0.10199	0.09505	-0.0019	1	0.249				
-8.1	-0.5084	0.10223	0.09538	-0.0037	1	0.2522				
-8	-0.4956	0.0994	0.09253	-0.0026	1	0.2557				
-7.9	-0.4884	0.09777	0.09089	-0.002	1	0.2613				
-7.8	-0.4987	0.0976	0.09079	-0.0031	1	0.266				
-7.7	-0.4963	0.09583	0.08905	-0.0031	1	0.2693				
-7.6	-0.4859	0.09405	0.08724	-0.002	1	0.2772				
-7.5	-0.4994	0.09404	0.08732	-0.0032	1	0.281				
-7.4	-0.4824	0.09136	0.0846	-0.0015	1	0.2889				
-7.3	-0.491	0.091	0.0843	-0.0021	1	0.2948				
-7.2	-0.4817	0.08894	0.08224	-0.0012	1	0.3016				
-7.1	-0.4863	0.08832	0.08167	-0.0012	1	0.3089				
