QBlade v0.963 64bit
NACA 2418
T1_Re0.100_M0.00_N9.0
Alpha = -10.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.5483   -0.464    -0.423    -1.210    -1.193
 0.5664   -0.434    -0.395    -1.198    -1.181
 0.5847   -0.405    -0.368    -1.185    -1.170
 0.6029   -0.377    -0.342    -1.174    -1.159
 0.6212   -0.350    -0.317    -1.162    -1.148
 0.6395   -0.323    -0.293    -1.150    -1.137
 0.6577   -0.297    -0.269    -1.139    -1.126
 0.6759   -0.271    -0.246    -1.128    -1.116
 0.6940   -0.246    -0.223    -1.116    -1.106
 0.7120   -0.222    -0.202    -1.105    -1.096
 0.7299   -0.198    -0.181    -1.094    -1.087
 0.7477   -0.174    -0.160    -1.083    -1.077
 0.7653   -0.150    -0.141    -1.072    -1.068
 0.7827   -0.127    -0.121    -1.061    -1.059
 0.7998   -0.103    -0.103    -1.050    -1.050
 0.8167   -0.080    -0.085    -1.039    -1.042
 0.8333   -0.056    -0.068    -1.028    -1.033
 0.8496   -0.032    -0.052    -1.016    -1.026
 0.8655   -0.007    -0.036    -1.004    -1.018
 0.8810    0.018    -0.021    -0.991    -1.010
 0.8960    0.044    -0.007    -0.978    -1.003
 0.9104    0.071     0.006    -0.964    -0.997
 0.9243    0.100     0.019    -0.949    -0.990
 0.9376    0.130     0.031    -0.933    -0.985
 0.9501    0.162     0.041    -0.915    -0.979
 0.9617    0.198     0.051    -0.896    -0.974
 0.9724    0.238     0.060    -0.873    -0.970
 0.9819    0.284     0.067    -0.846    -0.966
 0.9901    0.341     0.073    -0.812    -0.963
 0.9965    0.414     0.078    -0.765    -0.960
 1.0000    0.549     0.080    -0.672    -0.959


