AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.320_M0.00_N9.0 360 M" on Foil "T1_Re0.320_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.86          Angle of attack for zero Cn for linear Cn curve (deg)
7.36247        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8625        Cn at stall value for positive angle of attack for linear Cn curve
-0.8483        Cn at stall value for negative angle of attack for linear Cn curve
3.60           Angle of attack for minimum CD (deg)
0.0119         Minimum CD value
   -180.00   -0.0537    0.0060
   -179.00    0.0259    0.0065
   -178.00    0.0981    0.0080
   -177.00    0.1573    0.0106
   -176.00    0.2006    0.0141
   -175.00    0.2297    0.0187
   -174.00    0.2493    0.0242
   -173.00    0.2643    0.0307
   -172.00    0.2782    0.0382
   -171.00    0.2925    0.0467
   -170.00    0.3079    0.0561
   -169.00    0.3245    0.0665
   -168.00    0.3421    0.0778
   -167.00    0.3604    0.0900
   -166.00    0.3791    0.1031
   -165.00    0.3980    0.1171
   -164.00    0.4169    0.1320
   -163.00    0.4356    0.1477
   -162.00    0.4539    0.1642
   -161.00    0.4718    0.1816
   -160.00    0.4891    0.1997
   -159.00    0.5058    0.2186
   -158.00    0.5218    0.2382
   -157.00    0.5370    0.2585
   -156.00    0.5514    0.2796
   -155.00    0.5650    0.3012
   -154.00    0.5778    0.3235
   -153.00    0.5896    0.3465
   -152.00    0.6006    0.3699
   -151.00    0.6106    0.3940
   -150.00    0.6197    0.4185
   -149.00    0.6279    0.4436
   -148.00    0.6351    0.4691
   -147.00    0.6414    0.4950
   -146.00    0.6467    0.5213
   -145.00    0.6511    0.5480
   -144.00    0.6546    0.5750
   -143.00    0.6571    0.6023
   -142.00    0.6586    0.6298
   -141.00    0.6593    0.6576
   -140.00    0.6590    0.6856
   -139.00    0.6578    0.7137
   -138.00    0.6558    0.7420
   -137.00    0.6529    0.7704
   -136.00    0.6491    0.7988
   -135.00    0.6445    0.8272
   -134.00    0.6390    0.8557
   -133.00    0.6327    0.8840
   -132.00    0.6257    0.9123
   -131.00    0.6179    0.9405
   -130.00    0.6093    0.9685
   -129.00    0.6000    0.9964
   -128.00    0.5900    1.0240
   -127.00    0.5793    1.0514
   -126.00    0.5679    1.0785
   -125.00    0.5559    1.1053
   -124.00    0.5433    1.1317
   -123.00    0.5300    1.1578
   -122.00    0.5162    1.1834
   -121.00    0.5019    1.2087
   -120.00    0.4870    1.2334
   -119.00    0.4716    1.2576
   -118.00    0.4558    1.2813
   -117.00    0.4395    1.3045
   -116.00    0.4227    1.3270
   -115.00    0.4056    1.3490
   -114.00    0.3880    1.3703
   -113.00    0.3701    1.3909
   -112.00    0.3491    1.4109
   -111.00    0.3305    1.4301
   -110.00    0.3117    1.4486
   -109.00    0.2925    1.4664
   -108.00    0.2731    1.4833
   -107.00    0.2535    1.4995
   -106.00    0.2337    1.5148
   -105.00    0.2137    1.5293
   -104.00    0.1935    1.5430
   -103.00    0.1732    1.5558
   -102.00    0.1528    1.5676
   -101.00    0.1322    1.5786
   -100.00    0.1116    1.5887
    -99.00    0.0910    1.5979
    -98.00    0.0703    1.6061
    -97.00    0.0495    1.6133
    -96.00    0.0288    1.6197
    -95.00    0.0081    1.6250
    -94.00   -0.0125    1.6294
    -93.00   -0.0331    1.6328
    -92.00   -0.0537    1.6352
    -91.00   -0.0741    1.6367
    -90.00   -0.0944    1.6371
    -89.00   -0.1146    1.6366
    -88.00   -0.1347    1.6351
    -87.00   -0.1546    1.6326
    -86.00   -0.1743    1.6291
    -85.00   -0.1938    1.6247
    -84.00   -0.2132    1.6193
    -83.00   -0.2323    1.6129
    -82.00   -0.2511    1.6056
    -81.00   -0.2697    1.5973
    -80.00   -0.2880    1.5881
    -79.00   -0.3061    1.5779
    -78.00   -0.3238    1.5669
    -77.00   -0.3413    1.5549
    -76.00   -0.3584    1.5420
    -75.00   -0.3751    1.5283
    -74.00   -0.3916    1.5137
    -73.00   -0.4076    1.4983
    -72.00   -0.4233    1.4820
    -71.00   -0.4385    1.4650
    -70.00   -0.4534    1.4472
    -69.00   -0.4679    1.4286
    -68.00   -0.4819    1.4092
    -67.00   -0.4955    1.3892
    -66.00   -0.5086    1.3684
    -65.00   -0.5213    1.3470
    -64.00   -0.5334    1.3249
    -63.00   -0.5452    1.3022
    -62.00   -0.5564    1.2790
    -61.00   -0.5671    1.2551
    -60.00   -0.5773    1.2307
    -59.00   -0.5870    1.2058
    -58.00   -0.5962    1.1805
    -57.00   -0.6048    1.1546
    -56.00   -0.6129    1.1284
    -55.00   -0.6205    1.1018
    -54.00   -0.6275    1.0748
    -53.00   -0.6340    1.0474
    -52.00   -0.6399    1.0198
    -51.00   -0.6453    0.9919
    -50.00   -0.6501    0.9638
    -49.00   -0.6544    0.9355
    -48.00   -0.6581    0.9070
    -47.00   -0.6614    0.8783
    -46.00   -0.6641    0.8496
    -45.00   -0.6663    0.8208
    -44.00   -0.6680    0.7919
    -43.00   -0.6692    0.7630
    -42.00   -0.6700    0.7341
    -41.00   -0.6704    0.7053
    -40.00   -0.6705    0.6766
    -39.00   -0.6701    0.6480
    -38.00   -0.6696    0.6194
    -37.00   -0.6688    0.5911
    -36.00   -0.6679    0.5629
    -35.00   -0.6669    0.5350
    -34.00   -0.6660    0.5073
    -33.00   -0.6653    0.4798
    -32.00   -0.6649    0.4525
    -31.00   -0.6651    0.4256
    -30.00   -0.6660    0.3990
    -29.00   -0.6680    0.3726
    -28.00   -0.6713    0.3466
    -27.00   -0.6762    0.3208
    -26.00   -0.6833    0.2954
    -25.00   -0.6929    0.2703
    -24.00   -0.7056    0.2455
    -23.00   -0.7220    0.2210
    -22.00   -0.7424    0.1969
    -21.00   -0.7673    0.1732
