AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:32 Compatible with AeroDyn v13.0.
Polar "T1_Re0.155_M0.00_N9.0 360 M" on Foil "T1_Re0.155_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.80          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.04          Angle of attack for zero Cn for linear Cn curve (deg)
6.31553        Cn slope for zero lift for linear Cn curve (1/rad)
0.9627         Cn at stall value for positive angle of attack for linear Cn curve
-0.9340        Cn at stall value for negative angle of attack for linear Cn curve
-0.30          Angle of attack for minimum CD (deg)
0.0140         Minimum CD value
   -180.00   -0.0592    0.0060
   -179.00    0.0254    0.0065
   -178.00    0.1077    0.0080
   -177.00    0.1827    0.0106
   -176.00    0.2427    0.0141
   -175.00    0.2822    0.0187
   -174.00    0.3027    0.0242
   -173.00    0.3113    0.0307
   -172.00    0.3156    0.0382
   -171.00    0.3205    0.0467
   -170.00    0.3279    0.0562
   -169.00    0.3383    0.0665
   -168.00    0.3513    0.0779
   -167.00    0.3662    0.0901
   -166.00    0.3825    0.1032
   -165.00    0.3997    0.1173
   -164.00    0.4174    0.1322
   -163.00    0.4353    0.1479
   -162.00    0.4531    0.1645
   -161.00    0.4707    0.1819
   -160.00    0.4878    0.2000
   -159.00    0.5044    0.2189
   -158.00    0.5204    0.2386
   -157.00    0.5358    0.2590
   -156.00    0.5504    0.2801
   -155.00    0.5641    0.3018
   -154.00    0.5771    0.3242
   -153.00    0.5892    0.3472
   -152.00    0.6004    0.3707
   -151.00    0.6107    0.3949
   -150.00    0.6201    0.4195
   -149.00    0.6285    0.4446
   -148.00    0.6360    0.4702
   -147.00    0.6426    0.4962
   -146.00    0.6482    0.5227
   -145.00    0.6528    0.5494
   -144.00    0.6565    0.5765
   -143.00    0.6593    0.6040
   -142.00    0.6611    0.6316
   -141.00    0.6620    0.6595
   -140.00    0.6619    0.6877
   -139.00    0.6610    0.7159
   -138.00    0.6592    0.7443
   -137.00    0.6564    0.7728
   -136.00    0.6528    0.8014
   -135.00    0.6484    0.8300
   -134.00    0.6431    0.8585
   -133.00    0.6370    0.8871
   -132.00    0.6301    0.9155
   -131.00    0.6224    0.9438
   -130.00    0.6139    0.9720
   -129.00    0.6047    1.0000
   -128.00    0.5947    1.0278
   -127.00    0.5841    1.0554
   -126.00    0.5728    1.0826
   -125.00    0.5608    1.1096
   -124.00    0.5482    1.1362
   -123.00    0.5350    1.1624
   -122.00    0.5212    1.1882
   -121.00    0.5068    1.2135
   -120.00    0.4919    1.2384
   -119.00    0.4764    1.2628
   -118.00    0.4605    1.2867
   -117.00    0.4441    1.3100
   -116.00    0.4273    1.3327
   -115.00    0.4100    1.3548
   -114.00    0.3923    1.3762
   -113.00    0.3743    1.3970
   -112.00    0.3559    1.4171
   -111.00    0.3372    1.4365
   -110.00    0.3170    1.4551
   -109.00    0.2977    1.4730
   -108.00    0.2782    1.4901
   -107.00    0.2584    1.5063
   -106.00    0.2384    1.5218
   -105.00    0.2183    1.5364
   -104.00    0.1979    1.5502
   -103.00    0.1774    1.5630
   -102.00    0.1568    1.5750
   -101.00    0.1361    1.5861
   -100.00    0.1153    1.5963
    -99.00    0.0945    1.6055
    -98.00    0.0736    1.6138
    -97.00    0.0527    1.6211
    -96.00    0.0317    1.6275
    -95.00    0.0109    1.6329
    -94.00   -0.0100    1.6373
    -93.00   -0.0308    1.6408
    -92.00   -0.0515    1.6433
    -91.00   -0.0721    1.6447
    -90.00   -0.0926    1.6452
    -89.00   -0.1130    1.6447
    -88.00   -0.1332    1.6432
    -87.00   -0.1532    1.6407
    -86.00   -0.1731    1.6373
    -85.00   -0.1928    1.6328
