  6.20	  0.866	  0.033 
  6.30	  0.888	  0.032 
  6.40	  0.891	  0.032 
  6.50	  0.902	  0.032 
  6.60	  0.920	  0.032 
  6.70	  0.925	  0.032 
  6.80	  0.934	  0.032 
  6.90	  0.948	  0.032 
  7.00	  0.959	  0.031 
  7.10	  0.965	  0.032 
  7.20	  0.974	  0.032 
  7.30	  0.983	  0.031 
  7.40	  0.992	  0.031 
  7.50	  1.001	  0.031 
  7.60	  1.010	  0.031 
  7.70	  1.017	  0.031 
  7.80	  1.025	  0.032 
  7.90	  1.031	  0.032 
  8.00	  1.037	  0.032 
  8.10	  1.042	  0.032 
  8.20	  1.047	  0.033 
  8.30	  1.052	  0.033 
  8.40	  1.058	  0.034 
  8.50	  1.065	  0.034 
  8.60	  1.073	  0.035 
  8.70	  1.077	  0.036 
  8.80	  1.083	  0.036 
  8.90	  1.094	  0.037 
  9.00	  1.097	  0.038 
  9.10	  1.108	  0.039 
  9.20	  1.110	  0.039 
  9.30	  1.121	  0.040 
  9.40	  1.125	  0.041 
  9.50	  1.130	  0.042 
  9.60	  1.142	  0.043 
  9.70	  1.143	  0.044 
  9.80	  1.148	  0.045 
  9.90	  1.161	  0.046 
 10.00	  1.163	  0.047 
 10.10	  1.164	  0.048 
 10.20	  1.167	  0.049 
 10.30	  1.175	  0.050 
 10.40	  1.188	  0.051 
 10.50	  1.185	  0.053 
 10.60	  1.182	  0.054 
 10.70	  1.179	  0.056 
 10.80	  1.176	  0.057 
 10.90	  1.174	  0.058 
 11.00	  1.175	  0.060 
 11.10	  1.191	  0.061 
 11.20	  1.199	  0.062 
 11.30	  1.192	  0.064 
 11.40	  1.184	  0.066 
 11.50	  1.176	  0.067 
 11.60	  1.167	  0.069 
 11.70	  1.157	  0.071 
 11.80	  1.146	  0.072 
 11.90	  1.135	  0.074 
 12.00	  1.124	  0.076 
 12.10	  1.113	  0.078 
 12.20	  1.101	  0.080 
 12.30	  1.090	  0.083 
 12.40	  1.079	  0.085 
 12.50	  1.064	  0.084 
 12.60	  1.050	  0.083 
 12.70	  1.036	  0.082 
 12.80	  1.022	  0.081 
 12.90	  1.008	  0.080 
 13.00	  0.993	  0.078 
 13.10	  0.979	  0.077 
 13.20	  0.965	  0.076 
 13.30	  0.951	  0.075 
 13.40	  0.937	  0.074 
 13.50	  0.922	  0.073 
 13.60	  0.908	  0.072 
 13.70	  0.894	  0.071 
 13.80	  0.880	  0.069 
 13.90	  0.866	  0.068 
 14.00	  0.852	  0.067 
 14.10	  0.837	  0.066 
 14.20	  0.823	  0.065 
 14.30	  0.809	  0.064 
 14.40	  0.795	  0.063 
 14.50	  0.781	  0.062 
 14.60	  0.766	  0.061 
 14.70	  0.752	  0.059 
 14.80	  0.738	  0.058 
 14.90	  0.724	  0.057 
 15.00	  0.710	  0.056 
 15.10	  0.695	  0.055 
 15.20	  0.681	  0.054 
 15.30	  0.667	  0.053 
 15.40	  0.653	  0.052 
 15.50	  0.639	  0.050 
 15.60	  0.624	  0.049 
 15.70	  0.610	  0.048 
 15.80	  0.596	  0.047 
 15.90	  0.582	  0.046 
 16.00	  0.568	  0.045 
 16.10	  0.553	  0.044 
 16.20	  0.539	  0.043 
 16.30	  0.525	  0.041 
 16.40	  0.511	  0.040 
 16.50	  0.497	  0.039 
 16.60	  0.483	  0.038 
 16.70	  0.468	  0.037 
 16.80	  0.454	  0.036 
 16.90	  0.440	  0.035 
 17.00	  0.426	  0.034 
 17.10	  0.412	  0.033 
 17.20	  0.397	  0.031 
 17.30	  0.383	  0.030 
 17.40	  0.369	  0.029 
 17.50	  0.355	  0.028 
 17.60	  0.341	  0.027 
 17.70	  0.326	  0.026 
 17.80	  0.312	  0.025 
 17.90	  0.298	  0.024 
 18.00	  0.284	  0.022 
 18.10	  0.270	  0.021 
 18.20	  0.255	  0.020 
 18.30	  0.241	  0.019 
 18.40	  0.227	  0.018 
 18.50	  0.213	  0.017 
 18.60	  0.199	  0.016 
 18.70	  0.184	  0.015 
 18.80	  0.170	  0.013 
 18.90	  0.156	  0.012 
 19.00	  0.142	  0.011 
 19.10	  0.128	  0.010 
 19.20	  0.114	  0.009 
 19.30	  0.099	  0.008 
 19.40	  0.085	  0.007 
 19.50	  0.071	  0.006 
 19.60	  0.057	  0.004 
 19.70	  0.043	  0.003 
 19.80	  0.028	  0.002 
 19.90	  0.014	  0.001 
 20.00	  0.000	  0.000 
