AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.90          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.30          Angle of attack for zero Cn for linear Cn curve (deg)
8.93485        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5053        Cn at stall value for positive angle of attack for linear Cn curve
-0.5781        Cn at stall value for negative angle of attack for linear Cn curve
0.60           Angle of attack for minimum CD (deg)
0.0221         Minimum CD value
   -180.00   -0.1232    0.0060
   -179.00    0.0021    0.0065
   -178.00    0.1234    0.0080
   -177.00    0.2283    0.0106
   -176.00    0.2982    0.0142
   -175.00    0.3243    0.0187
   -174.00    0.3181    0.0243
   -173.00    0.2994    0.0309
   -172.00    0.2820    0.0384
   -171.00    0.2711    0.0469
   -170.00    0.2671    0.0564
   -169.00    0.2686    0.0668
   -168.00    0.2742    0.0781
   -167.00    0.2824    0.0903
   -166.00    0.2923    0.1035
   -165.00    0.3030    0.1175
   -164.00    0.3142    0.1324
   -163.00    0.3253    0.1481
   -162.00    0.3361    0.1646
   -161.00    0.3464    0.1819
   -160.00    0.3560    0.2000
   -159.00    0.3649    0.2188
   -158.00    0.3730    0.2384
   -157.00    0.3801    0.2587
   -156.00    0.3864    0.2796
   -155.00    0.3917    0.3012
   -154.00    0.3961    0.3234
   -153.00    0.3995    0.3462
   -152.00    0.4020    0.3695
   -151.00    0.4036    0.3934
   -150.00    0.4043    0.4178
   -149.00    0.4041    0.4427
   -148.00    0.4030    0.4680
   -147.00    0.4012    0.4937
   -146.00    0.3985    0.5198
   -145.00    0.3951    0.5462
   -144.00    0.3909    0.5730
   -143.00    0.3861    0.6000
   -142.00    0.3807    0.6273
   -141.00    0.3746    0.6548
   -140.00    0.3680    0.6824
   -139.00    0.3609    0.7102
   -138.00    0.3532    0.7382
   -137.00    0.3452    0.7662
   -136.00    0.3367    0.7942
   -135.00    0.3280    0.8223
   -134.00    0.3188    0.8503
   -133.00    0.3095    0.8783
   -132.00    0.2999    0.9062
   -131.00    0.2901    0.9340
   -130.00    0.2801    0.9616
   -129.00    0.2700    0.9890
   -128.00    0.2598    1.0162
   -127.00    0.2496    1.0431
   -126.00    0.2394    1.0698
   -125.00    0.2292    1.0961
   -124.00    0.2190    1.1221
   -123.00    0.2089    1.1477
   -122.00    0.1988    1.1729
   -121.00    0.1889    1.1977
   -120.00    0.1792    1.2220
   -119.00    0.1696    1.2458
   -118.00    0.1601    1.2690
   -117.00    0.1509    1.2917
   -116.00    0.1418    1.3138
   -115.00    0.1330    1.3354
   -114.00    0.1244    1.3563
   -113.00    0.1160    1.3765
   -112.00    0.1079    1.3960
   -111.00    0.1000    1.4149
   -110.00    0.0919    1.4330
   -109.00    0.0845    1.4504
   -108.00    0.0774    1.4670
   -107.00    0.0705    1.4828
   -106.00    0.0638    1.4979
   -105.00    0.0574    1.5121
   -104.00    0.0512    1.5254
   -103.00    0.0452    1.5379
   -102.00    0.0394    1.5496
   -101.00    0.0338    1.5604
   -100.00    0.0283    1.5702
    -99.00    0.0231    1.5792
    -98.00    0.0180    1.5872
    -97.00    0.0130    1.5944
    -96.00    0.0081    1.6006
    -95.00    0.0034    1.6058
    -94.00   -0.0013    1.6101
    -93.00   -0.0059    1.6135
    -92.00   -0.0105    1.6159
    -91.00   -0.0150    1.6173
    -90.00   -0.0195    1.6178
    -89.00   -0.0240    1.6173
    -88.00   -0.0285    1.6159
    -87.00   -0.0331    1.6135
    -86.00   -0.0377    1.6101
    -85.00   -0.0424    1.6058
    -84.00   -0.0471    1.6006
    -83.00   -0.0519    1.5944
    -82.00   -0.0569    1.5872
    -81.00   -0.0620    1.5792
    -80.00   -0.0672    1.5702
    -79.00   -0.0725    1.5604
    -78.00   -0.0780    1.5496
    -77.00   -0.0836    1.5379
    -76.00   -0.0895    1.5254
    -75.00   -0.0954    1.5121
    -74.00   -0.1016    1.4979
    -73.00   -0.1079    1.4828
    -72.00   -0.1144    1.4670
    -71.00   -0.1211    1.4504
    -70.00   -0.1280    1.4330
    -69.00   -0.1350    1.4149
    -68.00   -0.1422    1.3960
    -67.00   -0.1495    1.3765
    -66.00   -0.1570    1.3563
    -65.00   -0.1646    1.3354
    -64.00   -0.1724    1.3138
    -63.00   -0.1802    1.2917
    -62.00   -0.1882    1.2690
    -61.00   -0.1962    1.2457
    -60.00   -0.2044    1.2220
    -59.00   -0.2125    1.1977
    -58.00   -0.2207    1.1729
    -57.00   -0.2289    1.1477
    -56.00   -0.2371    1.1221
    -55.00   -0.2452    1.0961
    -54.00   -0.2533    1.0698
    -53.00   -0.2613    1.0431
    -52.00   -0.2692    1.0162
    -51.00   -0.2769    0.9890
    -50.00   -0.2844    0.9616
    -49.00   -0.2918    0.9340
    -48.00   -0.2989    0.9062
    -47.00   -0.3058    0.8783
    -46.00   -0.3123    0.8503
    -45.00   -0.3186    0.8223
    -44.00   -0.3245    0.7942
    -43.00   -0.3300    0.7662
    -42.00   -0.3351    0.7382
    -41.00   -0.3398    0.7102
    -40.00   -0.3439    0.6824
    -39.00   -0.3476    0.6547
    -38.00   -0.3507    0.6273
    -37.00   -0.3533    0.6000
    -36.00   -0.3553    0.5729
    -35.00   -0.3566    0.5462
    -34.00   -0.3573    0.5198
    -33.00   -0.3573    0.4937
    -32.00   -0.3566    0.4680
    -31.00   -0.3552    0.4427
    -30.00   -0.3530    0.4178
    -29.00   -0.3501    0.3934
    -28.00   -0.3463    0.3695
    -27.00   -0.3418    0.3461
    -26.00   -0.3364    0.3233
    -25.00   -0.3301    0.3011
    -24.00   -0.3230    0.2796
    -23.00   -0.3151    0.2586
    -22.00   -0.3063    0.2383
    -21.00   -0.2965    0.2188
    -20.00   -0.2860    0.1999
    -19.00   -0.2746    0.1818
    -18.00   -0.2624    0.1644
    -17.00   -0.2494    0.1479
    -16.00   -0.2359    0.1321
    -15.00   -0.2219    0.1171
    -14.00   -0.2081    0.1030
    -13.00   -0.1952    0.0896
    -12.00   -0.1855    0.0769
    -11.00   -0.1845    0.0647
    -10.00   -0.3933    0.0877
     -9.90   -0.4401    0.0790
     -9.80   -0.5018    0.0698
     -9.70   -0.5376    0.0655
     -9.60   -0.5651    0.0627
     -9.50   -0.5891    0.0608
     -9.40   -0.6415    0.0553
     -9.30   -0.6538    0.0532
     -9.20   -0.6635    0.0510
     -9.10   -0.6699    0.0490
     -9.00   -0.6733    0.0471
     -8.90   -0.6742    0.0455
     -8.80   -0.6711    0.0439
     -8.70   -0.6644    0.0423
     -8.60   -0.6546    0.0407
     -8.50   -0.6417    0.0392
     -8.40   -0.6261    0.0378
     -8.30   -0.6105    0.0366
     -8.20   -0.5946    0.0355
     -8.10   -0.5782    0.0345
     -8.00   -0.5612    0.0336
     -7.90   -0.5437    0.0327
     -7.80   -0.5262    0.0316
     -7.70   -0.5077    0.0304
     -7.60   -0.4893    0.0294
     -7.50   -0.4709    0.0286
     -7.40   -0.4524    0.0281
     -7.30   -0.4332    0.0280
     -7.20   -0.4167    0.0282
     -7.10   -0.4010    0.0284
     -7.00   -0.3859    0.0285
     -6.90   -0.3713    0.0287
     -6.80   -0.3561    0.0290
     -6.70   -0.3388    0.0293
     -6.60   -0.3231    0.0297
     -6.50   -0.3089    0.0304
     -6.40   -0.2956    0.0312
     -6.30   -0.2827    0.0319
     -6.20   -0.2692    0.0327
     -6.10   -0.2530    0.0329
     -6.00   -0.2347    0.0328
     -5.90   -0.2153    0.0325
     -5.80   -0.1994    0.0322
     -5.70   -0.1858    0.0318
     -5.60   -0.1735    0.0318
     -5.50   -0.1618    0.0318
     -5.40   -0.1504    0.0318
     -5.30   -0.1355    0.0317
     -5.20   -0.1182    0.0315
     -5.10   -0.0997    0.0312
     -5.00   -0.0806    0.0308
     -4.90   -0.0612    0.0304
     -4.80   -0.0414    0.0300
     -4.70   -0.0253    0.0297
     -4.60   -0.0129    0.0296
     -4.50   -0.0010    0.0295
     -4.40    0.0107    0.0293
     -4.30    0.0223    0.0292
     -4.20    0.0377    0.0289
     -4.10    0.0573    0.0287
     -4.00    0.0778    0.0282
     -3.90    0.0986    0.0277
     -3.80    0.1194    0.0273
     -3.70    0.1402    0.0269
     -3.60    0.1600    0.0264
     -3.50    0.1739    0.0263
     -3.40    0.1861    0.0262
     -3.30    0.1973    0.0261
     -3.20    0.2078    0.0260
     -3.10    0.2186    0.0259
     -3.00    0.2351    0.0257
     -2.90    0.2533    0.0255
     -2.80    0.2724    0.0251
     -2.70    0.2918    0.0247
     -2.60    0.3099    0.0244
     -2.50    0.3244    0.0242
     -2.40    0.3364    0.0239
     -2.30    0.3470    0.0238
     -2.20    0.3567    0.0238
     -2.10    0.3669    0.0237
     -2.00    0.3804    0.0236
     -1.90    0.3956    0.0234
     -1.80    0.4121    0.0232
